subject,window_sec,block,method,accuracy,mean_margin,median_margin,min_margin,itr_bits_min
1,0.5,4,ImprovedTDCA,0.975,1.3878170485722052,1.431546325731496,0.08401070847553616,602.5358529502963
1,0.5,5,TDCA,0.975,1.0972934113653063,1.1312375184298658,0.0057917285723836365,602.5358529502963
1,0.5,5,ImprovedTDCA,0.975,1.2083251917440017,1.3531033312237208,0.05898805394093798,602.5358529502963
1,0.8,0,TDCA,0.95,1.7603805740025453,1.7648659710980779,0.016541191114429976,357.84457701212193
1,0.8,0,ImprovedTDCA,0.95,1.9891347380136857,2.082130318083115,0.20438684760636816,357.84457701212193
1,0.8,1,TDCA,1.0,1.562397967969834,1.4844200912401722,0.14658041679706058,399.14460711305793
1,0.8,1,ImprovedTDCA,1.0,1.8559539399534137,1.8750712336890927,0.3166867027418152,399.14460711305793
1,0.8,2,TDCA,1.0,1.9226305993788166,1.937458438748267,0.23724440831579519,399.14460711305793
1,0.8,2,ImprovedTDCA,1.0,2.0529461905912143,2.070275426229148,0.277988142676433,399.14460711305793
1,0.8,3,TDCA,0.975,1.7030207987432617,1.6975441140323988,0.18998813901855205,376.58490809393516
1,0.8,3,ImprovedTDCA,0.975,2.0276036632138763,2.106139306233516,0.07322248698930034,376.58490809393516
1,0.8,4,TDCA,0.95,1.9200294936375122,1.953678509644103,0.06469145880139471,357.84457701212193
1,0.8,4,ImprovedTDCA,0.95,2.214734805996037,2.3790512289524868,0.06806705791858647,357.84457701212193
1,0.8,5,TDCA,0.975,1.8458358492295943,1.9025040671339584,0.48690358097345254,376.58490809393516
1,0.8,5,ImprovedTDCA,0.975,2.2340533914494123,2.363765306749759,0.22844972063428526,376.58490809393516
1,1.0,0,TDCA,1.0,2.109139605778651,2.2245169647518725,0.002111134151948413,319.31568569044634
1,1.0,0,ImprovedTDCA,1.0,2.713382971028564,2.8202194892080117,0.6851665588024205,319.31568569044634
1,1.0,1,TDCA,1.0,1.9446275817883367,1.9384140505223186,0.18189867691502215,319.31568569044634
1,1.0,1,ImprovedTDCA,1.0,2.451385194149121,2.48903010917961,0.5221018964726682,319.31568569044634
1,1.0,2,TDCA,1.0,2.2967833283522054,2.3199171547867,0.27653133729172197,319.31568569044634
1,1.0,2,ImprovedTDCA,1.0,2.867855192486954,2.9564292042863953,0.07831378893700647,319.31568569044634
1,1.0,3,TDCA,0.975,2.1163992295889344,2.1940628019438844,0.3491945552326867,301.26792647514816
1,1.0,3,ImprovedTDCA,0.975,2.600632698895597,2.639801881532828,0.7851402593127799,301.26792647514816
1,1.0,4,TDCA,0.975,2.329481024093536,2.307973431887554,0.35205984547747615,301.26792647514816
1,1.0,4,ImprovedTDCA,0.975,2.7790173159406475,2.7651435157519986,0.38844784155533185,301.26792647514816
1,1.0,5,TDCA,1.0,2.346447354130239,2.408873078063503,0.32864683409627826,319.31568569044634
1,1.0,5,ImprovedTDCA,1.0,2.8837847001268866,3.080059182729145,0.03717145521688314,319.31568569044634
