window_sec,method,accuracy,accuracy_std,mean_margin,itr_bits_min
0.3,ImprovedTDCA,0.8666666666666667,0.05845225972250057,0.8757682510187023,813.8956389118407
0.3,MultiDelay-TDCA,0.8624999999999999,0.030618621784789746,0.7438888889607959,804.4463715153879
0.3,TDCA,0.85,0.038729833462074155,0.72207071877338,785.2197536591681
0.3,RA-TDCA,0.85,0.038729833462074155,0.7220586969463093,785.2197536591681
0.3,AdaptiveFB-TDCA,0.8083333333333332,0.0683130051063973,0.8016651855900733,724.1051683669434
0.3,Riemann-TDCA-Fusion,0.6791666666666667,0.05342440141608201,0.6663380174824032,545.7705344934828
0.3,RiemannMDM,0.020833333333333332,0.018819316317727028,0.3395326896880606,2.9150260610152876
0.5,ImprovedTDCA,0.9375,0.04401704215414751,1.3189409030816555,560.9337672369089
0.5,TDCA,0.9333333333333332,0.046547466812563096,1.155110161424179,556.5973851382222
0.5,RA-TDCA,0.9333333333333332,0.046547466812563096,1.155100947932391,556.5973851382222
0.5,MultiDelay-TDCA,0.9291666666666667,0.04306003560921268,1.1842444435619839,551.5999635164053
0.5,AdaptiveFB-TDCA,0.9083333333333333,0.04654746681256311,1.2778605242936665,529.562870504855
0.5,Riemann-TDCA-Fusion,0.8958333333333334,0.045871196481742926,1.158170148493811,516.4631524416335
0.5,RiemannMDM,0.025000000000000005,0.0158113883008419,0.29416673345938765,1.0184981168272955
1.0,ImprovedTDCA,0.9916666666666667,0.012909944487358074,2.716009678771295,313.2997659520136
1.0,Riemann-TDCA-Fusion,0.9916666666666667,0.012909944487358046,2.232444343636977,313.2997659520136
1.0,MultiDelay-TDCA,0.9916666666666667,0.012909944487358074,2.2006216526229614,313.2997659520136
1.0,TDCA,0.9916666666666667,0.012909944487358074,2.1904796872886503,313.2997659520136
1.0,RA-TDCA,0.9916666666666667,0.012909944487358074,2.1904761829792325,313.2997659520136
1.0,AdaptiveFB-TDCA,0.9874999999999999,0.01369306393762918,2.3315247485382424,310.2918060827972
1.0,RiemannMDM,0.07083333333333333,0.04587119648174294,0.35091394511581303,3.6535439907790668
