window_sec,method,accuracy,accuracy_std,mean_margin,itr_bits_min
0.3,TriBranchTDCA,0.8708333333333332,0.06967184988692826,0.9847877418715033,824.915624286661
0.3,TDCA-FBTRCA,0.8666666666666667,0.08465616732800195,0.9174802158739931,817.8488739669459
0.3,ImprovedTDCA,0.8666666666666667,0.05845225972250057,0.8757682510187023,813.8956389118407
0.3,TDCA,0.85,0.038729833462074155,0.72207071877338,785.2197536591681
0.3,FBTRCA,0.7416666666666667,0.0752772652709081,0.7568163246868562,630.3055768356344
0.3,TRCA,0.25,0.035355339059327376,0.2828213211026242,110.12474447000353
0.5,TriBranchTDCA,0.9375,0.03446012188022552,1.5808206680111845,560.0704237167296
0.5,ImprovedTDCA,0.9375,0.04401704215414751,1.3189409030816555,560.9337672369089
0.5,TDCA-FBTRCA,0.9333333333333332,0.03027650354097488,1.4840482799379304,555.0730020949127
0.5,TDCA,0.9333333333333332,0.046547466812563096,1.155110161424179,556.5973851382222
0.5,FBTRCA,0.9,0.05000000000000003,1.2709072427908825,521.1356659389788
0.5,TRCA,0.3,0.04183300132670377,0.3494159343837084,89.50983603031898
1.0,TriBranchTDCA,0.9958333333333332,0.010206207261596583,2.8548586905350692,316.30772582123
1.0,TDCA-FBTRCA,0.9958333333333332,0.010206207261596583,2.515539337605405,316.30772582123
1.0,ImprovedTDCA,0.9916666666666667,0.012909944487358074,2.716009678771295,313.2997659520136
1.0,FBTRCA,0.9916666666666667,0.012909944487358046,2.330682553776548,313.2997659520136
1.0,TDCA,0.9916666666666667,0.012909944487358074,2.1904796872886503,313.2997659520136
1.0,TRCA,0.32083333333333336,0.03679900360969936,0.37344857884648747,49.84186369872891
