window_sec,block,method,accuracy,mean_margin,itr_bits_min
0.5,2,FBTRCA,0.975,1.3884282506610066,602.5358529502963
0.5,2,TDCA-FBTRCA,0.975,1.5987375415737248,602.5358529502963
0.5,2,TriBranchTDCA,0.975,1.6839891227680677,602.5358529502963
0.5,3,TDCA,0.875,1.225686965431341,494.1226049195982
0.5,3,ImprovedTDCA,0.875,1.3264246728169737,494.1226049195982
0.5,3,TRCA,0.25,0.3078886044973691,65.59179675378513
0.5,3,FBTRCA,0.925,1.1974425323601259,544.9453661215437
0.5,3,TDCA-FBTRCA,0.9,1.541965470965408,518.9270735294228
0.5,3,TriBranchTDCA,0.9,1.7199079184884734,518.9270735294228
0.5,4,TDCA,0.975,1.1750223744137238,602.5358529502963
0.5,4,ImprovedTDCA,0.975,1.3878170485722052,602.5358529502963
0.5,4,TRCA,0.3,0.3063611187330456,88.90267709437161
0.5,4,FBTRCA,0.9,1.3463893469305352,518.9270735294228
0.5,4,TDCA-FBTRCA,0.95,1.5149607152408608,572.5513232193952
0.5,4,TriBranchTDCA,0.95,1.6014758757234264,572.5513232193952
0.5,5,TDCA,0.975,1.0972934113653063,602.5358529502963
0.5,5,ImprovedTDCA,0.975,1.2083251917440017,602.5358529502963
0.5,5,TRCA,0.325,0.37733055199831694,101.3454569549014
0.5,5,FBTRCA,0.9,1.213736171701412,518.9270735294228
0.5,5,TDCA-FBTRCA,0.95,1.4226076752904482,572.5513232193952
0.5,5,TriBranchTDCA,0.975,1.5071982867247975,602.5358529502963
1.0,0,TDCA,1.0,2.109139605778651,319.31568569044634
1.0,0,ImprovedTDCA,1.0,2.713382971028564,319.31568569044634
1.0,0,TRCA,0.35,0.38710184220901167,57.14091583508459
1.0,0,FBTRCA,0.975,2.306839882632816,301.26792647514816
1.0,0,TDCA-FBTRCA,1.0,2.476948732724763,319.31568569044634
1.0,0,TriBranchTDCA,1.0,2.8380230760842653,319.31568569044634
1.0,1,TDCA,1.0,1.9446275817883367,319.31568569044634
1.0,1,ImprovedTDCA,1.0,2.451385194149121,319.31568569044634
1.0,1,TRCA,0.3,0.31804387020803637,44.451338547185806
1.0,1,FBTRCA,1.0,2.026025050505672,319.31568569044634
1.0,1,TDCA-FBTRCA,1.0,2.2482689864046335,319.31568569044634
1.0,1,TriBranchTDCA,1.0,2.571199567676795,319.31568569044634
1.0,2,TDCA,1.0,2.2967833283522054,319.31568569044634
1.0,2,ImprovedTDCA,1.0,2.867855192486954,319.31568569044634
1.0,2,TRCA,0.3,0.37570460795919675,44.451338547185806
1.0,2,FBTRCA,1.0,2.514607752479904,319.31568569044634
1.0,2,TDCA-FBTRCA,1.0,2.66567462528324,319.31568569044634
1.0,2,TriBranchTDCA,1.0,3.0335509200066157,319.31568569044634
1.0,3,TDCA,0.975,2.1163992295889344,301.26792647514816
1.0,3,ImprovedTDCA,0.975,2.600632698895597,301.26792647514816
1.0,3,TRCA,0.275,0.3595454238250215,38.487798475057
1.0,3,FBTRCA,1.0,2.2603681334383317,319.31568569044634
1.0,3,TDCA-FBTRCA,1.0,2.470816810299448,319.31568569044634
1.0,3,TriBranchTDCA,1.0,2.7499261676240274,319.31568569044634
1.0,4,TDCA,0.975,2.329481024093536,301.26792647514816
1.0,4,ImprovedTDCA,0.975,2.7790173159406475,301.26792647514816
1.0,4,TRCA,0.325,0.39845767884130473,50.6727284774507
1.0,4,FBTRCA,0.975,2.5217772198466095,301.26792647514816
1.0,4,TDCA-FBTRCA,0.975,2.6602028055410782,301.26792647514816
1.0,4,TriBranchTDCA,0.975,2.9824925833269718,301.26792647514816
1.0,5,TDCA,1.0,2.346447354130239,319.31568569044634
1.0,5,ImprovedTDCA,1.0,2.8837847001268866,319.31568569044634
1.0,5,TRCA,0.375,0.40183805003635376,63.84706231040955
1.0,5,FBTRCA,1.0,2.354477283755956,319.31568569044634
1.0,5,TDCA-FBTRCA,1.0,2.5713240653792653,319.31568569044634
1.0,5,TriBranchTDCA,1.0,2.9539598284917394,319.31568569044634
