subject,block,method,accuracy,itr_bits_min
1,0,CCA,0.75,47.83949123569002
1,0,FBCCA,1.0,79.82892142261159
1,1,CCA,0.55,29.260839636173145
1,1,FBCCA,0.875,61.765325614949774
1,2,CCA,0.7,42.82524794996992
1,2,FBCCA,0.9,64.86588419117786
1,3,CCA,0.625,35.78202389833581
1,3,FBCCA,0.9,64.86588419117786
1,4,CCA,0.6,33.552249193316925
1,4,FBCCA,0.9,64.86588419117786
1,5,CCA,0.625,35.78202389833581
1,5,FBCCA,0.975,75.31698161878704
