method,mean_accuracy,std_accuracy,mean_itr_bits_min,std_itr_bits_min,subjects
TDCA,0.9958333333333332,,79.0769314553075,,1
ImprovedTDCA(alpha=0.00),0.9958333333333332,,79.0769314553075,,1
FBCCA,0.9916666666666667,,78.45225375258039,,1
CCA,0.7833333333333333,,51.58525239931321,,1
