window_sec,method_family,accuracy,n_trials,itr_bits_min,accuracy_pct
0.5,CCA,0.13333333333333333,240,20.96839983846099,13.333333333333334
0.5,FBCCA,0.25416666666666665,240,67.45000218610905,25.416666666666664
0.5,TDCA,0.9333333333333333,240,553.945033433015,93.33333333333333
0.5,ImprovedTDCA,0.9375,240,558.5160467509751,93.75
0.5,EnsembleImprovedTDCA,0.9333333333333333,240,553.945033433015,93.33333333333333
1.0,CCA,0.36666666666666664,240,61.58570676084203,36.666666666666664
1.0,FBCCA,0.65,240,152.27815577460512,65.0
1.0,TDCA,0.9916666666666667,240,312.5012057641222,99.16666666666667
1.0,ImprovedTDCA,0.9916666666666667,240,312.5012057641222,99.16666666666667
1.0,EnsembleImprovedTDCA,0.9916666666666667,240,312.5012057641222,99.16666666666667
2.0,CCA,0.6416666666666667,240,74.60103814702056,64.16666666666667
2.0,FBCCA,0.925,240,136.23634153038591,92.5
2.0,TDCA,0.9958333333333333,240,157.8288455894324,99.58333333333333
2.0,ImprovedTDCA,0.9958333333333333,240,157.8288455894324,99.58333333333333
2.0,EnsembleImprovedTDCA,0.9958333333333333,240,157.8288455894324,99.58333333333333
4.0,CCA,0.7833333333333333,240,51.340853369051146,78.33333333333333
4.0,FBCCA,0.9916666666666667,240,78.12530144103054,99.16666666666667
4.0,TDCA,0.9958333333333333,240,78.9144227947162,99.58333333333333
4.0,ImprovedTDCA,0.9958333333333333,240,78.9144227947162,99.58333333333333
4.0,EnsembleImprovedTDCA,0.9958333333333333,240,78.9144227947162,99.58333333333333
